No,Nama,Email,Password,KonfirmasiPassword,ExpectedResult
1,Akun Latihan A01,latihan_a.01@demo.com,Rahasia123!,Rahasia123!,Success
2,Akun Latihan A02,latihan_a.02@demo.com,Rahasia123!,Rahasia123!,Success
3,Akun Latihan A03,latihan_a.03@demo.com,Rahasia123!,Rahasia123!,Success
4,Akun Latihan A04,latihan_a.04@demo.com,Rahasia123!,Rahasia123!,Success
5,Akun Latihan A05,latihan_a.05@demo.com,Rahasia123!,Rahasia123!,Success
6,Akun Latihan A06,latihan_a.06@demo.com,Rahasia123!,Rahasia123!,Success
7,Akun Latihan A07,latihan_a.07@demo.com,Rahasia123!,Rahasia123!,Success
8,Akun Latihan A08,latihan_a.08@demo.com,Rahasia123!,Rahasia123!,Success
9,Akun Latihan A09,latihan_a.09@demo.com,Rahasia123!,Rahasia123!,Success
10,Akun Latihan A10,latihan_a.10@demo.com,Rahasia123!,Rahasia123!,Success
11,Akun Latihan A11,latihan_a.11@demo.com,Rahasia123!,Rahasia123!,Success
12,Akun Latihan A12,latihan_a.12@demo.com,Rahasia123!,Rahasia123!,Success
13,Akun Latihan A13,latihan_a.13@demo.com,Rahasia123!,Rahasia123!,Success
14,Akun Latihan A14,latihan_a.14@demo.com,Rahasia123!,Rahasia123!,Success
15,Akun Latihan A15,latihan_a.15@demo.com,Rahasia123!,Rahasia123!,Success
16,Akun Latihan A16,latihan_a.16@demo.com,Rahasia123!,Rahasia123!,Success
17,Akun Latihan A17,latihan_a.17@demo.com,Rahasia123!,Rahasia123!,Success
18,Akun Latihan A18,latihan_a.18@demo.com,Rahasia123!,Rahasia123!,Success
19,Akun Latihan A19,latihan_a.19@demo.com,Rahasia123!,Rahasia123!,Success
20,Akun Latihan A20,latihan_a.20@demo.com,Rahasia123!,Rahasia123!,Success
21,Akun Latihan A21,latihan_a.21@demo.com,Rahasia123!,Rahasia123!,Success
22,Akun Latihan A22,latihan_a.22@demo.com,Rahasia123!,Rahasia123!,Success
23,Akun Latihan A23,latihan_a.23@demo.com,Rahasia123!,Rahasia123!,Success
24,Akun Latihan A24,latihan_a.24@demo.com,Rahasia123!,Rahasia123!,Success
25,Akun Latihan A25,latihan_a.25@demo.com,Rahasia123!,Rahasia123!,Success
26,Akun Latihan A26,latihan_a.26@demo.com,Rahasia123!,Rahasia123!,Success
27,Akun Latihan A27,latihan_a.27@demo.com,Rahasia123!,Rahasia123!,Success
28,Akun Latihan A28,latihan_a.28@demo.com,Rahasia123!,Rahasia123!,Success
29,Akun Latihan A29,latihan_a.29@demo.com,Rahasia123!,Rahasia123!,Success
30,Akun Latihan A30,latihan_a.30@demo.com,Rahasia123!,Rahasia123!,Success
