No,Nama,Email,Password,KonfirmasiPassword,ExpectedResult
1,Akun Latihan B01,latihan_b.01@demo.com,Rahasia123!,Rahasia123!,Success
2,Akun Latihan B02,latihan_b.02@demo.com,Rahasia123!,Rahasia123!,Success
3,Akun Latihan B03,latihan_b.03@demo.com,Rahasia123!,Rahasia123!,Success
4,Akun Latihan B04,latihan_b.04@demo.com,Rahasia123!,Rahasia123!,Success
5,Akun Latihan B05,latihan_b.05@demo.com,Rahasia123!,Rahasia123!,Success
6,Akun Latihan B06,latihan_b.06@demo.com,Rahasia123!,Rahasia123!,Success
7,Akun Latihan B07,latihan_b.07@demo.com,Rahasia123!,Rahasia123!,Success
8,Akun Latihan B08,latihan_b.08@demo.com,Rahasia123!,Rahasia123!,Success
9,Akun Latihan B09,latihan_b.09@demo.com,Rahasia123!,Rahasia123!,Success
10,Akun Latihan B10,latihan_b.10@demo.com,Rahasia123!,Rahasia123!,Success
11,Akun Latihan B11,latihan_b.11@demo.com,Rahasia123!,Rahasia123!,Success
12,Akun Latihan B12,latihan_b.12@demo.com,Rahasia123!,Rahasia123!,Success
13,Akun Latihan B13,latihan_b.13@demo.com,Rahasia123!,Rahasia123!,Success
14,Akun Latihan B14,latihan_b.14@demo.com,Rahasia123!,Rahasia123!,Success
15,Akun Latihan B15,latihan_b.15@demo.com,Rahasia123!,Rahasia123!,Success
16,Akun Latihan B16,latihan_b.16@demo.com,Rahasia123!,Rahasia123!,Success
17,Akun Latihan B17,latihan_b.17@demo.com,Rahasia123!,Rahasia123!,Success
18,Akun Latihan B18,latihan_b.18@demo.com,Rahasia123!,Rahasia123!,Success
19,Akun Latihan B19,latihan_b.19@demo.com,Rahasia123!,Rahasia123!,Success
20,Akun Latihan B20,latihan_b.20@demo.com,Rahasia123!,Rahasia123!,Success
21,Akun Latihan B21,latihan_b.21@demo.com,Rahasia123!,Rahasia123!,Success
22,Akun Latihan B22,latihan_b.22@demo.com,Rahasia123!,Rahasia123!,Success
23,Akun Latihan B23,latihan_b.23@demo.com,Rahasia123!,Rahasia123!,Success
24,Akun Latihan B24,latihan_b.24@demo.com,Rahasia123!,Rahasia123!,Success
25,Akun Latihan B25,latihan_b.25@demo.com,Rahasia123!,Rahasia123!,Success
26,Akun Latihan B26,latihan_b.26@demo.com,Rahasia123!,Rahasia123!,Success
27,Akun Latihan B27,latihan_b.27@demo.com,Rahasia123!,Rahasia123!,Success
28,Akun Latihan B28,latihan_b.28@demo.com,Rahasia123!,Rahasia123!,Success
29,Akun Latihan B29,latihan_b.29@demo.com,Rahasia123!,Rahasia123!,Success
30,Akun Latihan B30,latihan_b.30@demo.com,Rahasia123!,Rahasia123!,Success
