No,Nama,Email,Password,KonfirmasiPassword,ExpectedResult
1,Akun Latihan C01,latihan_c.01@demo.com,Rahasia123!,Rahasia123!,Success
2,Akun Latihan C02,latihan_c.02@demo.com,Rahasia123!,Rahasia123!,Success
3,Akun Latihan C03,latihan_c.03@demo.com,Rahasia123!,Rahasia123!,Success
4,Akun Latihan C04,latihan_c.04@demo.com,Rahasia123!,Rahasia123!,Success
5,Akun Latihan C05,latihan_c.05@demo.com,Rahasia123!,Rahasia123!,Success
6,Akun Latihan C06,latihan_c.06@demo.com,Rahasia123!,Rahasia123!,Success
7,Akun Latihan C07,latihan_c.07@demo.com,Rahasia123!,Rahasia123!,Success
8,Akun Latihan C08,latihan_c.08@demo.com,Rahasia123!,Rahasia123!,Success
9,Akun Latihan C09,latihan_c.09@demo.com,Rahasia123!,Rahasia123!,Success
10,Akun Latihan C10,latihan_c.10@demo.com,Rahasia123!,Rahasia123!,Success
11,Akun Latihan C11,latihan_c.11@demo.com,Rahasia123!,Rahasia123!,Success
12,Akun Latihan C12,latihan_c.12@demo.com,Rahasia123!,Rahasia123!,Success
13,Akun Latihan C13,latihan_c.13@demo.com,Rahasia123!,Rahasia123!,Success
14,Akun Latihan C14,latihan_c.14@demo.com,Rahasia123!,Rahasia123!,Success
15,Akun Latihan C15,latihan_c.15@demo.com,Rahasia123!,Rahasia123!,Success
16,Akun Latihan C16,latihan_c.16@demo.com,Rahasia123!,Rahasia123!,Success
17,Akun Latihan C17,latihan_c.17@demo.com,Rahasia123!,Rahasia123!,Success
18,Akun Latihan C18,latihan_c.18@demo.com,Rahasia123!,Rahasia123!,Success
19,Akun Latihan C19,latihan_c.19@demo.com,Rahasia123!,Rahasia123!,Success
20,Akun Latihan C20,latihan_c.20@demo.com,Rahasia123!,Rahasia123!,Success
21,Akun Latihan C21,latihan_c.21@demo.com,Rahasia123!,Rahasia123!,Success
22,Akun Latihan C22,latihan_c.22@demo.com,Rahasia123!,Rahasia123!,Success
23,Akun Latihan C23,latihan_c.23@demo.com,Rahasia123!,Rahasia123!,Success
24,Akun Latihan C24,latihan_c.24@demo.com,Rahasia123!,Rahasia123!,Success
25,Akun Latihan C25,latihan_c.25@demo.com,Rahasia123!,Rahasia123!,Success
26,Akun Latihan C26,latihan_c.26@demo.com,Rahasia123!,Rahasia123!,Success
27,Akun Latihan C27,latihan_c.27@demo.com,Rahasia123!,Rahasia123!,Success
28,Akun Latihan C28,latihan_c.28@demo.com,Rahasia123!,Rahasia123!,Success
29,Akun Latihan C29,latihan_c.29@demo.com,Rahasia123!,Rahasia123!,Success
30,Akun Latihan C30,latihan_c.30@demo.com,Rahasia123!,Rahasia123!,Success
